seed,gss_vs_orgPrb,gss_vs_orgPrb_rtol,gss_vs_ana,gss_vs_ana_rtol,gss_vs_ana_rtol2,ana_vs_orgPrb,"diffNorms(GSS,OrgPrb)",sum(GSS.-OrgPrb),sum(GSS.-Ana),rmsq(GSS.-OrgPrb),rmsq(GSS.-Ana),norm(GSS-OrgPrb),norm(GSS-Ana),norm(Ana-OrigProb)
3357,true,true,true,true,true,true,-2.1316282072803006e-14,1.9305142742077292e-10,1.8007091119858626e-9,7.402538295767964e-14,6.118737549173423e-13,4.737624509291497e-12,3.915992031470991e-11,1.2673434546148116e-11
4190,true,true,true,true,true,true,1.0766143532237038e-10,3.427872147262036e-7,1.248742869370753e-6,1.6367305129462374e-10,6.744007669637366e-10,1.0475075282855911e-8,4.316164908567913e-8,1.754587597861412e-10
26,true,true,true,true,true,true,4.263256414560601e-14,8.58227169886483e-11,3.655730028591375e-10,3.2511094213269086e-14,1.341166328644669e-13,2.0807100296492215e-12,8.583464503325881e-12,5.811189710178832e-12
3358,false,false,false,false,true,true,-0.00014245779655652768,0.14211241799937321,7.313714022356088,0.00012953371833881116,0.007452783279236916,0.008290157973683914,0.47697812987116295,3.443050478539774e-9
859,false,false,true,true,true,true,7.585460082282225e-8,0.0003666617961192909,0.001180204364344186,2.199402866126213e-7,5.640388934016678e-7,1.407617834320775e-5,3.6098489177706696e-5,2.704017927186527e-8
4191,true,true,true,true,true,true,7.041336402835441e-9,1.848201380400303e-5,4.540288871411873e-5,6.892899352444323e-9,1.8252920436205787e-8,4.411455585564369e-7,1.1681869079171702e-6,4.402120433697346e-10
1692,true,true,true,true,true,true,-1.5916157281026244e-12,7.022164354554897e-8,0.011230948169608956,2.375331408539435e-11,4.074874292394155e-6,1.5202121014652385e-9,0.00026079195471322554,3.404774540932465e-8
2526,true,true,true,true,true,true,1.5418777365994174e-12,9.294271485643939e-9,8.791020037213822e-6,4.108576749529439e-12,4.616156591969023e-9,2.6294891196988416e-10,2.954340218860174e-7,9.096020066381642e-10
27,true,true,true,true,true,true,3.490313815746049e-9,2.5188748827228974e-5,3.68805999649887e-5,1.027381752312615e-8,1.6415293897702553e-8,6.575243214800739e-7,1.050578809452963e-6,6.13915398917676e-9
2527,true,true,true,true,true,true,-3.7279335174389416e-10,1.853229709679132e-6,2.9272976600923557e-6,9.464635370143823e-10,1.4011382451102104e-9,6.057366636892041e-8,8.96728476870534e-8,1.6254467983106464e-12
860,true,true,true,true,true,true,-1.3642420526593924e-12,9.407779833506486e-9,3.6724712835448786e-8,4.487633027141472e-12,1.3110179039684082e-11,2.872085137370542e-10,8.390514585397813e-10,1.3289606712166556e-10
1693,true,true,true,true,true,true,1.8339534335609642e-9,1.1738971380091037e-5,3.858718665246584e-5,5.963349268737992e-9,2.35480787984067e-8,3.8165435319923194e-7,1.5070770430980292e-6,2.70724222353779e-10
3359,true,true,true,true,true,true,-3.694822225952521e-13,3.256004871645714e-10,1.2280997715194246e-7,1.685020653117463e-13,5.92291076423625e-11,1.0784132179951764e-11,3.7906628891112e-9,5.838078570631999e-11
4192,true,true,true,true,true,true,9.947598300641403e-14,1.7845532229948755e-9,1.2306360281679179e-9,8.365837776280797e-13,4.557364227942849e-13,5.3541361768197104e-11,2.9167131058834235e-11,1.778237769977649e-11
